Raag Name,URL,Time,Aaroh,Avroh,Swar,Jati,Thaat,Vadi - Samvadi,Vishranti Sthan,Mukhya Ang,S,r,R,g,G,m,M,P,d,D,n,N,Source_File,Magnitude,Final_X,Final_Y,Final_Z
Abhogi Kanada,https://tanarang.com/wordpress/raag-abhogi-kanada/,2nd Prahar of the Night (9PM to 12AM),"S R g m D S' - S' D m g R g m R S ; R ,D ,D S",,"Pancham, Nishad Varjya. Gandhar Komal. Rest All Shuddha Swaras.",Audhav - Audhav Vakra,Kafi,Madhyam - Shadj,R; m; D; S;,"S R ,D S ; R g m ; g m R S;",True,False,True,True,False,True,False,False,False,True,False,False,tanarang_Raw_Data.csv,5,0.02,4.21,1.23
Adana,https://tanarang.com/wordpress/raag-adana-2/,2nd Prahar of the Night (9PM to 12AM),S R m P d n S' - S' d n P ; m P g m R S,,"Gandhar Varjya in Aaroh. Gandhar, Dhaivat, Nishad Komal. Rest All Shuddha Swaras.",Shadhav - Sampurna Vakra,Asawari,Shadj - Pancham,P; n; - S'; P; R;,m P d n S'; S' d n S' ; S' d n P ; m P ; g m R S;,True,False,True,True,False,True,False,True,True,False,True,False,tanarang_Raw_Data.csv,7,0.03,4.18,2.77
Aheer Bhairav,https://tanarang.com/wordpress/raag-aheer-bhairav/,1st Prahar of the Day (6AM to 9AM),S r G m P D n S' - S' n D P m G r S or S' n D P m G m r S,,Rishabh and Nishad Komal. Rest All Shuddha Swaras.,Sampurna - Sampurna,Bhairav,Madhyam - Shadj,S; r; m; P; - S'; P; m; r;,"G m P ; D n D ; P D P ; S' n D ; n D P m G m ; G m P m r r S ; ,n ,D ,n r r S;",True,True,False,False,True,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,7,0.0202,4.8871,1.8973
Alhaiya Bilawal,https://tanarang.com/wordpress/raag-alhaiya-bilawal/,1st Prahar of the Day (6AM to 9AM),S R G P D N S' - S' N D P D n D P m G R S,,Madhyam Varjya in Aaroh. Both Nishads. Rest All Shuddha Swaras.,Shadhav - Sampurna,Bilawal,Dhaivat - Gandhar,S; G; P; - S'; P; G;,G R G P ; D n D P ; m G R ; G P D N S' ;,True,False,True,False,True,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,8,0.04,6.735,1.09
Bageshree,https://tanarang.com/wordpress/raag-bageshree/,2nd Prahar of the Night (9PM to 12AM),"S R g m D n S' - S' n D m P D m g R S; ,n S",,Pancham Varjya in Aaroh. Gandhar and Nishad Komal. Rest All Shuddha Swaras.,Shadhav - Sampurna Vakra,Kafi,Madhyam - Shadj,S; m; D; - S'; D; m; g;,",n S m ; S g m ; g R S ; ,n ,D ; m D n D ; m g R S;",True,False,True,True,False,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,7,0.0204,4.881,1.9013
Bahar,https://tanarang.com/wordpress/raag-bahar/,2nd Prahar of the Night (9PM to 12AM) or Anytime in Spring Season.,"S R S m P m g m D N S' - S' n P m g m R S ,N S",,"Rishabh and Pancham Varjya in Aaroh. Dhaivat Varjya in Avroh. Gandhar Komal, Both Nishads. Rest All Shuddha Swaras.",Audhav - Shadhav Vakra,Kafi,Madhyam - Shadj,S; m; P; - S'; m; R;,S m ; P m g m ; n P m ; m n D N S' ; n P m ; P m ; g m R S;,True,False,True,True,False,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,8,0.0206,5.5498,1.9003
Bairagi,https://tanarang.com/wordpress/raag-bairagi/,1st Prahar of the Day (6AM to 9AM),S r m P n S' - S' n P m r S,,Gandhar and Dhaivat Varjya. Rishabh and Nishad Komal. Rest All Shuddha Swaras.,Audhav - Audhav,Bhairav,Madhyam - Shadj,S; r; m; P;,"m P n P m r ; r P m r S ; ,n S r S ;",True,True,False,False,False,True,False,True,False,False,True,False,tanarang_Raw_Data.csv,5,0.0208,3.5353,1.8993
Bairagi Todi,https://tanarang.com/wordpress/raag-bairagi-todi/,1st Prahar of the Day (6AM to 9AM),S r g P n S' - S' n P g r S,,"Madhyam and Dhaivat Varjya. Rishabh, Gandhar, Nishad Komal. Rest all Shuddha Swaras.",Audhav - Audhav,Todi,Pancham - Shadj,S; r; P;,",n S r g ; g r ,n ,P ; ,n r S ;",True,True,False,True,False,False,False,True,False,False,True,False,tanarang_Raw_Data.csv,5,0.07,2.55,2.77
Basant,https://tanarang.com/wordpress/raag-basant/,2nd Prahar of the Night (9PM to 12AM) or Anytime in Spring Season.,S G M d N S' - S' N d P M G M N d M G r S,,Rishabh and Pancham Varjya in Aaroh. Rishabh and Dhaivat Komal. Madhyam Teevra. Rest All Shuddha Swaras.,Audhav - Sampurna Vakra,Poorvi,Tar Shadj - Pancham,S; G; - S'; P; G;,M d r' S' ; N S' r' N d P ; G M d N M G ; M d G M G ; M G M G r S ;,True,True,False,False,True,False,True,True,True,False,False,True,tanarang_Raw_Data.csv,7,1.0,4.0,2.0
Basant Mukhari,https://tanarang.com/wordpress/raag-basant-mukhari/,2nd Prahar of the Day (9AM to 12PM),"S r G m P d n S'; - S' n d P m G r S ,n S;",,"Rishabh, Dhaivat and Nishad Komal. Rest All Shuddha Swaras.",Sampurna - Sampurna,Bhairav,Pancham - Shadj,S; G; m; - S'; P; m; r;,"S r G ; G m ; P m ; P d n d P m ; P m G m ; G r ; r S ; ,n ,d ,n S r ; r G m ; G r S ; G m r S;",True,True,False,False,True,True,False,True,True,False,True,False,tanarang_Raw_Data.csv,7,0.0707,4.1155,2.7677
Bhairav,https://tanarang.com/wordpress/raag-bhairav/,1st Prahar of the Day (6AM to 9AM),S r G m P d N S'; - S' N d P m G r S;,,Rishabh and Dhaivat Komal. Rest All Shuddha Swaras.,Sampurna - Sampurna,Bhairav,Dhaivat - Rishabh,S; m; P; d; - S'; d; P; r;,"r r S ; d d P ; G m d d P ; G m r r S ; ,N S;",True,True,False,False,True,True,False,True,True,False,False,True,tanarang_Raw_Data.csv,7,0.01,4.9,2.02
Bhairavi,https://tanarang.com/wordpress/raag-bhairavi/,1st Prahar of the Day (6AM to 9AM) or Sarv Kalik,S r g m P d n S'; - S' n d P m g r S;,,"Rishabh, Gandhar, Dhaivat, Nishad Komal. Rest all Shuddha Swaras.",Sampurna - Sampurna,Bhairavi,Madhyam - Shadj,S; m; P; - S'; P; m;,g S r S ; g m P ; d m d n S' ; r' S' d P g m r S;,True,True,False,True,False,True,False,True,True,False,True,False,tanarang_Raw_Data.csv,7,0.026,3.5956,3.1683
Bhatiyar,https://tanarang.com/wordpress/raag-bhatiyar/,4th Prahar of the Night (3AM to 6AM),S r S ; S m ; m D P ; S D ; D N P m ; P G ; M D S' - S' r' N D P ; D N P m ; P G r S;,,"Both Madhyams, Rishabh Komal. Rest all Shuddha Swaras.",Sampurna - Sampurna Vakra,Marwa,Shuddha Madhyam - Shadj,S; m; P; D; - m; S;,S m P ; P G r S ; S D N D ; N P ; D m ; P G ; P G r S ; M D S' ;,True,True,False,False,True,True,True,True,False,True,False,True,tanarang_Raw_Data.csv,8,1.0,5.98,1.01
Bheem,https://tanarang.com/wordpress/raag-bheem/,3rd Prahar of the Day (12PM to 3PM),",n S G m P n S' - S' n D P m G P m ; G m R S ; ,n S ,P ,n S",,"Rishabh, Dhaivat Varjya in Aaroh. Nishad Komal. Rest all Shuddha Swaras.",Audhav - Sampurna Vakra,Kafi,Shadj - Pancham,S; G; P; - S'; P; G;,",n S G m P (S')n ; P (S')n S' ; S' (P)D P ; D m P ; G m R ,n S ;",True,False,True,False,True,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,7,0.0305,5.9455,1.0082
Bheempalasi,https://tanarang.com/wordpress/raag-bheempalasi/,3rd Prahar of the Day (12PM to 3PM),",n S g m P n S' - S' n D P m g R S ,n S ,P ,n S",,Rishabh and Dhaivat Varjya in Aaroh. Gandhar and Nishad Komal. Rest all Shuddha Swaras.,Audhav - Sampurna,Kafi,Madhyam - Shadj,S; m; P; - S'; P; m;,",n S g m P ; n D P ; S' ; n D P ; m g R S;",True,False,True,True,False,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,7,0.0264,4.8846,1.8758
Bhoopali,https://tanarang.com/wordpress/raag-bhoopali/,1st Prahar of the Night (6PM to 9PM),"S R G P D S' - S’ D P G R S R ,D S",,"Madhyam, Nishad Varjya. Rest All Shuddha Swaras.",Audhav - Audhav,Kalyan,Gandhar - Dhaivat,S; R; G; P; - P; G; R; S;,G R G; P G; D P; S' D P G; P G R G; G R S;,True,False,True,False,True,False,False,True,False,True,False,False,tanarang_Raw_Data.csv,5,0.02,5.04,0.03
Bhupal Todi,https://tanarang.com/wordpress/raag-bhupal-todi/,1st Prahar of the Day (6AM to 9AM),"S r g P d S' - S' d P g r S ,d r S",,"Madhyam and Nishad Varjya. Rishabh, Gandhar and Dhaivat Komal. Rest all Shuddha Swaras.",Audhav - Audhav,Bhairavi,Dhaivat - Gandhar,S; g; P; d; - d; P; g; S;,"S ,d S r g ; d P g r g r S;",True,True,False,True,False,False,False,True,True,False,False,False,tanarang_Raw_Data.csv,5,0.0404,2.2424,2.8959
Bihag,https://tanarang.com/wordpress/raag-bihag/,2nd Prahar of the Night (9PM to 12AM),"S G m P N S' - S' N DP M P G m G RS, S' N D P M G m G R S",,Rishabh and Dhaivat Varjya in Aaroh. Both Madhyams. Rest all Shuddha Swaras.,Audhav - Sampurna Vakra,Kalyan,Gandhar - Nishad,S; G; P; N; - S'; N; P; G;,",N S G ; G m G ; P M P G m G ; P M G m G R S;",True,False,True,False,True,True,True,True,False,True,False,True,tanarang_Raw_Data.csv,8,0.93,6.79,0.13
Bihagda,https://tanarang.com/wordpress/raag-bihagda/,2nd Prahar of the Night (9PM to 12AM),S G m P N S'  - S' N (D)P ; P D n D P ; G m G ; P m G (R) S;,,Rishabh  Varjya in Aaroh. Both Nishads. Rest all Shuddha Swaras.,Shadhav - Sampurna,Bilawal,Gandhar - Shuddha Nishad,G; m; N;,S G m P ; m P G (R) S; G m n D P ; G m G ; G m P N S' ; S' N P ; D n D P ; G m G ; mP mP G (R) S;,True,False,True,False,True,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,8,0.0,7.0,1.0
Bilaskhani Todi,https://tanarang.com/wordpress/raag-bilaskhani-todi/,2nd Prahar of the Day (9AM to 12PM),S r g P d S' - S' r' n d ; P ; P d n d m g r ; r g r S,,"Madhyam and Nishad Varjya in Aaroh. Pancham Varjya in Avroh. Rishabh, Gandhar, Dhaivat and Nishad Komal. Rest all Shuddha Swaras.",Audhav - Sampurna Vakra,Bhairavi,Dhaivat - Gandhar,S; g; P; d; - d; P; g; S;,"S r ,n ,d S ; S r g ; r g P ; P d n d ; d m g r ; g r S ;",True,True,False,True,False,True,False,True,True,False,True,False,tanarang_Raw_Data.csv,7,0.041,3.136,3.7843
Chandrakauns,https://tanarang.com/wordpress/raag-chandrakauns/,2nd Prahar of the Night (9PM to 12AM),"S g m d N S' - S' N d m g m g S ,N S",,Rishabh and Pancham Varjya. Gandhar and Dhaivat Komal. Rest all Shuddha Swaras.,Audhav - Audhav,Not Defined,Madhyam - Shadj,S; m; N; - S'; N; m;,"S g m g S ,N ; ,N S ; g m d N S'; N d S' ; N d m g m g S ,N S;",True,False,False,True,False,True,False,False,True,False,False,True,tanarang_Raw_Data.csv,5,0.0215,3.5454,1.8887
Charukeshi,https://tanarang.com/wordpress/raag-charukeshi/,2nd Prahar of the Day (9AM to 12PM),"S R G m P d n S' - S' n d P m G R S ,d ,n S",,Dhaivat and Nishad Komal. Rest all Shuddha Swaras.,Sampurna - Sampurna,Not Defined,Madhyam - Shadj,R; G; m; P; d;,",d ,n S R G m G R ; R G m d P ; R G m R S ;",True,False,True,False,True,True,False,True,True,False,True,False,tanarang_Raw_Data.csv,7,0.0218,4.8909,1.8876
Chhayanut,https://tanarang.com/wordpress/raag-chhayanut/,2nd Prahar of the Night (9PM to 12AM),S R G R ; G P m G R S ; S R G m P D N S' - S' N D P M P D P ; R G m P m G R S,,Both Madhyams. Rest All Shuddha Swaras.,Sampurna - Sampurna Vakra,Kalyan,Pancham - Rishabh,R; G; P; - S'; P; R;,",P R R ; R G m P ; G m R S ; S' P R G ; m G m R S R S;",True,False,True,False,True,True,True,True,False,True,False,True,tanarang_Raw_Data.csv,8,1.0,6.93,0.02
Darbari Kanada,https://tanarang.com/wordpress/raag-darbari-kanada/,3rd Prahar of the Night (12AM to 3AM),S R g m P d n S' - S' d n P m P g m R S,,"Gandhar, Dhaivat and Nishad Komal. Rest all Shuddha Swaras.",Sampurna - Sampurna Vakra,Asawari,Rishabh - Pancham,S; R; P; - S'; P; R;,"S R g (R)g ; m P d (P)d n P ; n m P S' ; S' (n)d n P m P (m)g m R S ; ,d ,n S;",True,False,True,True,False,True,False,True,True,False,True,False,tanarang_Raw_Data.csv,7,0.025,4.12,2.86
Des,https://tanarang.com/wordpress/raag-des/,2nd Prahar of the Night (9PM to 12AM),"S R m P N S' - S' n D P D m G R G ,N S",,Gandhar and Dhaivat Varjya in Aaroh. Both Nishads. Rest all Shuddha Swaras.,Audhav - Sampurna Vakra,Khamaj,Rishabh - Pancham,R P N S' - S' P R;,"D s m G R; G ,N s S; R m P N; S' R' n D P;",True,False,True,False,True,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,8,0.0203,6.8612,1.0386
Deshkar,https://tanarang.com/wordpress/raag-deshkar/,1st Prahar of the Day (6AM to 9AM),S R G P D S' - S' D P D G P G R S,,Madhya and Nishad Varjya. Rest all Shuddha Swaras.,Audhav - Audhav Vakra,Bilawal,Dhaivat - Gandhar,P; D; S'; - S'; D; P;,"S R G P D ; D G P ; S' D ; P D G P ; G R S ; ,D S;",True,False,True,False,True,False,False,True,False,True,False,False,tanarang_Raw_Data.csv,5,0.0412,4.9411,0.1877
Desi,https://tanarang.com/wordpress/raag-desi/,1st Prahar of the Day (6AM to 9AM),"S R m P n S' - S' P D m P R g S R ,n S",,Gandhar and Dhaivat Varjya in Aaroh. Nishad Varjya in Avroh. Gandhar and Nishad Komal. Rest all Shuddha Swaras.,Audhav - Shadhav Vakra,Kafi,Pancham - Shadj,S; R; P; - P; R; S;,"R m P ; D m P S' ; S' P D m P ; R g S R ,n S;",True,False,True,True,False,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,7,0.0764,4.8917,1.9854
Dev Gandhar,https://tanarang.com/wordpress/raag-dev-gandhar/,2nd Prahar of the Day (9AM to 12PM),S R G m P m g R G m P d n S' - S' n d P m P g R G m g R S,,Dhaivat and Nishad Komal. Both Gandhars. Rest all Shuddha Swaras.,Sampurna - Sampurna Vakra,Asawari,Dhaivat - Gandhar,G; m; P; - S'; P; R;,",d ,n S R G m G m ; d m P n d P ; d m P g R S ; R G m ; P g R S ; d m P g R G m g R S ;",True,False,True,True,True,True,False,True,True,False,True,False,tanarang_Raw_Data.csv,8,0.0416,4.9405,2.8896
Devgiri Bilawal,https://tanarang.com/wordpress/raag-devgiri-bilawal/,1st Prahar of the Day (6AM to 9AM),"S R G P D N S' - S' N D P ; D n D P ; m G R S ; ,N S ; ,D ,P G R S",,Both Nishads. Madhyam Varjya in Aaroh. Rest all Shuddha Swaras.,Shadhav - Sampurna Vakra,Bilawal,Shadj - Pancham,S; G; P; - P; G; S';,"S ; ,D ,N ,D S R G ; G R S ; ,D ,P G ; ,N R G m G ; G P m ; G R S ;",True,False,True,False,True,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,8,0.0356,6.8163,1.0028
Devshree,https://tanarang.com/wordpress/raag-devshree/,2nd Prahar of the Night (9PM to 12AM),S R M P n S' - S' n P M R S,,Gandhar and Dhaivat Varjya. Madhyam Teevra. Nishad Komal. Rest all Shuddha Swaras.,Audhav - Audhav,Kalyan,Pancham - Rishabh,R; P; n; - n; P; R;,"R M P ; M P n P ; M R S; ,n ,P ,n S;",True,False,True,False,False,False,True,True,False,False,True,False,tanarang_Raw_Data.csv,5,1.0,3.0893,0.9802
Dhanashree (Bhairavi Ang),https://tanarang.com/wordpress/raag-dhanashree-bhairavi-ang/,3rd Prahar of the Day (12PM to 3PM),",n S g m P n S' - S' n d P m P g m g r S",,"Rishabh and Dhaivat Varjya in Aaroh. Rishabh, Gandhar, Dhaivat and Nishad Komal. Rest all Shuddha Swaras.",Audhav - Sampurna,Bhairavi,Pancham - Shadj,S; P; - S'; P; g;,S; g m P n d P ; P d m P g ; m g r S ; g m P g r S ;,True,True,False,True,False,True,False,True,True,False,True,False,tanarang_Raw_Data.csv,7,0.0722,3.3356,3.5452
Dhani,https://tanarang.com/wordpress/raag-dhani/,Sarv Kalik or 3rd Prahar of the Day (12PM to 3PM),S g m P n S' - S' n P m g S,,Rishabh and Dhaivat Varjya. Gandhar and Nishad Komal. Rest all Shuddha Swaras.,Audhav - Audhav,Kafi,Gandhar - Nishad,g; n;,",n S g ; S g m P g ; n P g S ;",True,False,False,True,False,True,False,True,False,False,True,False,tanarang_Raw_Data.csv,5,0.0493,3.2679,1.8913
Durga,https://tanarang.com/wordpress/raag-durga/,2nd Prahar of the Night (9PM to 12AM),"S R m P D S' - S' D P D m R S ,D S",,Gandhar and Nishad Varjya. Rest all Shuddha Swaras.,Audhav - Audhav,Bilawal,Madhyam - Shadj,S; R; P; D; - S'; D; m; R;,"m P D ; m R ,D S ; R R P;",True,False,True,False,False,True,False,True,False,True,False,False,tanarang_Raw_Data.csv,5,0.022,4.8898,0.5465
Gaud Malhar,https://tanarang.com/wordpress/raag-gaud-malhar/,2nd Prahar of the Night (9PM to 12AM) or Anytime in Rainy Season.,S R G m ; R P ; m P D N S' - S' n D n P m ; G R G (R)S ; R G m,,Both Nishads. Rest All Shuddha Swaras.,Sampurna - Sampurna Vakra,Bilawal,Madhyam - Shadj,S; m; P; - S'; P; m;,S R G m ; R G m G m ; G R G (R)S ; m P D n P ; m P D N S' ;,True,False,True,False,True,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,8,0.0275,6.1661,1.2372
Gaud Sarang,https://tanarang.com/wordpress/raag-gaud-sarang/,3rd Prahar of the Day (12PM to 3PM),"S G R m G D P N D S' or ,N S G R m G; P M D M P S'; - S' N D P M P D P G R m G P R S or S' N D P M P m g ; m g R m G P R S;",,Both Madhyams. Rest all Shuddha Swaras.,Sampurna - Sampurna Vakra,Kalyan,Gandhar - Dhaivat,G; P; S'; - S'; P; G;,S G R m G P R S ; m G P ; D P S' ; S' D P m G ; G R m G P R S ;,True,True,True,True,True,True,True,True,False,True,False,True,tanarang_Raw_Data.csv,10,0.9802,6.9604,1.9503
Gauri (Bhairav Ang),https://tanarang.com/wordpress/raag-gauri-bhairav-ang/,4th Prahar of the Day (3PM to 6PM),"S r ,N S; S r G m P d P; P d N S' - S' N d P m G; r G m G r; S r ,N S; ,d ,N ,d S ,N S",,Rishabh and Dhaivat Komal. Rest All Shuddha Swaras.,Sampurna - Sampurna Vakra,Bhairav,Rishabh - Pancham,,"S r S ,N S G r; m G r S r ,N S;",True,True,False,False,True,True,False,True,True,False,False,True,tanarang_Raw_Data.csv,7,0.0205,5.0198,1.959
